Carcinogenicity,group,smiles
1,training,[O-]c1ccccc1-c1ccccc1
1,training,Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br
0,training,Brc1cc(Br)c2cccnc2c1
0,training,Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br
1,test,C#C[C@@]1(O)CC[C@]2(C)[C@]1(C)CC[C@]1(C)c3ccc(OC)cc3CC[C@]12C
1,test,C#C[C@@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C
1,training,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
0,training,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
1,training,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
1,training,C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1
0,training,C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
1,training,C/C=C(/C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@](O)([C@H](C)OC)C(C)(C)O)[C@H]12
1,training,C/C=C(\C)C(=O)O[C@@H]1CCN2CC=C(COC(=O)C(O)(C(C)C)C(C)O)[C@H]12
0,training,C/C=C/C=C/C(=O)O
1,training,C/C=C/C=C/C=O
1,training,C/C=C/C=O
0,training,C/C=C/c1ccc(OC)cc1
1,test,C/C=C/c1ccc2c(c1)OCO2
1,valid,C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN(C)CC[C@@H](OC1=O)C2=O
1,training,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23
1,training,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23
0,test,C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)O
0,training,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
0,training,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
1,training,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
1,training,C[C@@H]1CCCCN1N=O
0,training,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
0,training,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
0,training,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
1,training,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
1,training,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
1,training,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1
0,training,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
0,training,C[C@]12CC[C@@H]3c4ccc(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)Cc1ccc(N(CCCl)CCCl)cc1
1,training,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
0,training,C[C@]12CC[C@H]3C(=CCc4cc(OS(=O)(=O)[O-])ccc43)[C@@H]1CCC2=O
0,training,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
0,training,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
1,training,C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23
1,training,C[C@H]1C[C@@H](C)CN(S(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)C1
0,training,C[C@H]1CCC[C@@H](C)N1CCCC(O)(c1ccccc1)c1ccccn1
0,training,C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
1,training,C[C@H]1CCCCN1N=O
1,test,C[C@H]1CN(N=O)C[C@H](C)O1
1,training,C[C@H]1OC12C[C@@H](C)[C@@](C)(O)C(=O)OCC1=CCN(C)CC[C@@H](OC2=O)C1=O
1,valid,C[N+]([O-])(CCCl)CCCl
0,training,C[N+](C)(C)CCCl
0,training,C[N+](C)(C)CCO
0,training,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1
1,training,C=C(C)[C@H]1CC=C(C)CC1
0,training,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
1,training,C=C(C)C
0,training,C=C(C)C#N
0,training,C=C(C)C(=O)OC
1,training,C=C(C)CCl
1,training,C=C(Cl)CSC(=S)N(CC)CC
0,training,C=C/C=N/O
1,training,C=C/C1=C/[C@H](C)[C@](C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CC[C@@H](OC1=O)C23[O-]
0,training,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl
1,valid,C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23
0,training,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3
0,training,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O
0,training,C=CC
1,training,C=CC#N
1,training,C=CC(=C)C
0,training,C=CC(=O)c1ccc2c(c1)OCO2
0,training,C=CC(=O)NCO
0,training,C=CC(=O)O
1,training,C=CC(=O)OCC
1,training,C=CC(N)=O
1,training,C=CC(O)c1ccc2c(c1)OCO2
1,training,C=CC(OC(C)=O)c1ccc2c(c1)OCO2
0,training,C=CC(OCC)OCC
1,valid,C=CC=C
0,valid,C=CC=O
0,training,C=CC1=C(C)C2=CC3=NC(=C(CC(=O)[O-])C4=NC(=C(C)C4=C([O-])[O-])C=c4[n-]c(c(C)c4CC)=CC1=N2)[C@@H](CCC(=O)[O-])[C@@H]3C
0,test,C=Cc1ccc(C)cc1
0,training,C=Cc1cccc(C)c1
0,training,C=Cc1cccc[n+]1[O-]
1,training,C=Cc1ccccc1
0,training,C=CCc1ccc(O)c(OC)c1
1,valid,C=CCc1ccc(OC)c(OC)c1
1,valid,C=CCc1ccc2c(c1)OCO2
0,test,C=CCCl
1,training,C=CCN(CC(C)=O)N=O
1,training,C=CCN(CC(C)O)N=O
1,training,C=CCN(CC(O)CO)N=O
1,training,C=CCN(CC=C)N=O
1,training,C=CCN(CCO)N=O
1,training,C=CCN(N=O)C(N)=O
1,training,C=CCN=C=S
0,training,C=CCO
0,training,C=CCOC(=O)c1ccccc1C(=O)OCC=C
1,training,C=CCOC(=O)CC(C)C
0,training,C=CCOc1ccc(CC(=O)O)cc1Cl
0,training,C=CCOc1ccccc1OCC(O)CNC(C)C
0,valid,C=CCOCC1CO1
1,training,C=CN1CCCC1=O
1,training,C=COC(C)=O
0,training,C1C2OC2C2C1C1CC2C2OC12
1,valid,c1cc(OCC2CO2)cc(OCC2CO2)c1
0,training,C1CC2OC2CC1C1CO1
0,training,c1ccc([SnH](c2ccccc2)c2ccccc2)cc1
0,training,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
1,test,c1ccc(-c2ccccc2)cc1
1,training,c1ccc(C2CO2)cc1
1,training,c1ccc(N=Nc2ccccc2)cc1
0,training,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
0,training,c1ccc(Nc2ccc3ccccc3c2)cc1
1,training,c1ccc(NNc2ccccc2)cc1
1,training,c1ccc(OCC2CO2)cc1
0,training,c1ccc2[nH]c(-c3cscn3)nc2c1
0,valid,c1ccc2c(c1)[nH]c1cnccc12
1,training,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
0,training,c1ccc2c(c1)Oc1ccccc1O2
1,training,c1ccc2ccccc2c1
0,training,c1ccc2n[nH]nc2c1
1,training,c1ccc2occc2c1
1,training,c1ccccc1
0,training,C1CCCNCCC1
0,training,C1CCNCC1
1,valid,c1ccncc1
1,training,c1ccoc1
1,training,C1CCOC1
0,training,C1CNCCN1
1,training,C1COCCO1
0,valid,C1N2CN3CN1CN(C2)C3
0,training,C1OC1C1CO1
0,training,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1
0,training,CC(=O)C(N=Nc1ccc(Cl)cc1Cl)C(=O)Nc1ccc(-c2ccc(NC(=O)C(N=Nc3ccc(Cl)cc3Cl)C(C)=O)c(C)c2)cc1C
0,training,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
1,training,CC(=O)CN(C)N=O
1,training,CC(=O)CN(CC(C)=O)N=O
1,training,CC(=O)CN(CC(O)CO)N=O
1,valid,CC(=O)CN(CCO)N=O
0,training,CC(=O)CN(N=O)C(=O)NCCCl
0,training,CC(=O)CN(N=O)C(N)=O
1,training,CC(=O)N(C(C)=O)c1cccc2c1Cc1ccccc1-2
0,training,CC(=O)N(C)C
1,training,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2
0,training,CC(=O)N[C@@H](CS)C(=O)O
0,training,CC(=O)Nc1ccc(C(=O)CCl)cc1
1,training,CC(=O)Nc1ccc(-c2ccc(F)cc2)cc1
1,training,CC(=O)Nc1ccc(-c2ccccc2)cc1
0,training,CC(=O)Nc1ccc(-c2ccccc2)cc1O
0,training,CC(=O)Nc1ccc(CC(=O)O)cc1
1,training,CC(=O)Nc1ccc(N/N=C2/C=C(C)C=CC2=O)cc1
1,training,CC(=O)Nc1ccc(O)cc1
0,training,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
0,training,CC(=O)Nc1ccc(S(=O)(=O)[O-])c2c1C(=O)/C(=N/Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c3ccc(S(=O)(=O)[O-])cc13)C(S(=O)(=O)[O-])=C2
1,training,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1
1,training,CC(=O)Nc1ccc2c(c1)C(=O)c1ccccc1-2
1,valid,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
0,training,CC(=O)Nc1cccc2c1-c1ccccc1C2
0,training,CC(=O)Nc1cccc2c1Cc1ccccc1-2
1,training,CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1
1,training,CC(=O)Nc1nc(NC(C)=O)nc(-c2ccc([N+](=O)[O-])o2)n1
1,training,CC(=O)Nc1nnc(-c2ccc([N+](=O)[O-])o2)s1
1,valid,CC(=O)NCc1nc(-c2ccc([N+](=O)[O-])o2)no1
0,training,CC(=O)O[C@@H]1[C@@H](O)C2OC3C=C(C)C(=O)C(O)[C@@]3(CO)[C@]1(C)[C@]21CO1
1,valid,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1
0,training,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1
0,training,CC(=O)OC/C=C(\C)CCC=C(C)C
1,valid,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
0,training,CC(=O)OC[C@H]1O[C@H](O[C@]2(COC(C)=O)O[C@H](COC(=O)C(C)C)[C@@H](OC(=O)C(C)C)[C@@H]2OC(=O)C(C)C)[C@H](OC(=O)C(C)C)[C@@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C
0,training,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
0,training,CC(=O)Oc1ccccc1C(=O)O
1,training,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
0,valid,CC(=O)OCc1ccccc1
1,test,CC(=O)OCN=[N+](C)[O-]
0,training,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
1,training,CC(C(O)c1ccccc1)N(C)N=O
0,valid,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OS(C)(=O)=O
0,training,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
0,training,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O
0,test,CC(C)(C)c1cc(O)ccc1O
0,training,CC(C)(C)c1ccc(O)cc1
0,test,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
0,training,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O
1,training,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
1,training,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
1,training,CC(C)(C)O
0,training,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
0,training,CC(C)(CO)CCCCCCC(C)(C)CO
1,valid,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O
1,training,CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O
0,training,CC(C)(OCc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O
0,training,CC(C)[N+](=O)[O-]
0,training,CC(C)=CCC/C(C)=C/C=O
1,training,CC(C)=CCl
1,training,CC(C)=NNc1ncc(-c2ccc([N+](=O)[O-])o2)s1
1,training,CC(C)=NO
0,training,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
1,valid,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
0,training,CC(C)C=O
0,training,CC(C)Cc1ccc(C(C)C(=O)O)cc1
1,training,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)CC[C@]4(C)[C@H]3CC[C@@]21C
1,training,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C
0,training,CC(C)CN(N=O)/C(N)=N/[N+](=O)[O-]
1,training,CC(C)CN(N=O)C(N)=O
1,training,CC(C)CON=O
1,training,CC(C)N=[N+]([O-])C(C)C
1,valid,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
0,valid,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
0,training,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
0,training,CC(C)NCC(O)COc1cccc2ccccc12
0,valid,CC(C)O
0,training,CC(C)OC(=O)Nc1cccc(Cl)c1
1,valid,CC(C)Oc1ccccc1OC(=O)N(C)N=O
0,training,CC(CCl)OC(C)CCl
0,training,CC(Cl)CCl
0,training,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
1,training,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
1,valid,CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl
1,training,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
1,training,CC(I)C1OCC(CO)O1
0,training,CC(N)Cc1ccccc1
0,training,CC(O)C(=O)[O-]
1,training,CC(O)c1ccccc1
0,training,CC(O)CCl
1,training,CC(O)CN(C)N=O
0,training,CC(O)CN(CC(C)O)CC(C)O
1,training,CC(O)CN(CC(C)O)N=O
1,training,CC(O)CN(CC(O)CO)N=O
1,training,CC(O)CN(CCO)N=O
1,training,CC(O)CN(N=O)C(=O)NCCCl
1,valid,CC(O)CNC(=O)N(N=O)C(C)Cl
0,training,CC(O)CNCC(C)O
0,training,CC(O)CO
0,training,CC(O)COC(C)(C)C
0,training,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
1,training,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
1,valid,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
1,training,CC/C(C)=N/O
1,training,CC/C=C(/CC)[N+](=O)[O-]
0,training,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
0,training,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
0,training,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
0,training,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
1,training,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
0,training,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
1,training,CC[N+]([O-])=NC
1,training,CC[NH2+]C(=O)N(CCN(C)C)N=O
0,training,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
0,valid,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
0,training,CC1(C)C(=O)NC(=O)NC1=O
1,training,CC1(C)C(=O)Nc2ccc(C3=NNC(=O)CC3)cc21
1,training,CC1(C)COC1=O
1,training,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
0,training,CC1(C)OC(=O)NC1=O
0,training,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
0,training,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
0,training,Cc1[nH]cnc1CSCCN=C(NC#N)N(C)N=O
0,training,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
0,training,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1
0,training,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
0,training,CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1
0,training,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O
0,training,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1
1,training,CC1=C2C(=CO[C@@H](C)[C@@H]2C)C(=O)C(C(=O)O)=C1O
0,training,CC1=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=CC1=N
1,valid,CC1=CC(=O)CC(C)(C)C1
1,valid,CC1=CC(C)(C)N(N=O)c2ccccc21
1,test,CC1=CC(C)(C)Nc2ccccc21
0,training,CC1=NN(c2ccccc2)C(=O)C1
1,training,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
0,training,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
0,training,Cc1c(-c2cnccn2)ssc1=S
0,training,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C
0,training,Cc1c(N)cccc1N
1,training,Cc1c(N)nc(C)c2c1[nH]c1ccccc12
1,test,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
1,test,Cc1cc(/N=N/c2c(O)ccc3ccccc23)c(S(=O)(=O)[O-])cc1Cl
1,test,Cc1cc(=O)[nH]c(=S)[nH]1
1,training,Cc1cc(=O)n(-c2ccccc2)n1C
1,training,CC1CC(=O)O1
0,training,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
1,valid,Cc1cc(C)c(N)c(C)c1
1,training,Cc1cc(C)c(N)cc1C
1,valid,Cc1cc(C)c(N/N=C2\C(=O)C(S(=O)(=O)[O-])=Cc3cc(S(=O)(=O)[O-])ccc32)cc1C
1,training,Cc1cc(C)c(S(=O)(=O)[O-])cc1N/N=C1\C=C(S(=O)(=O)[O-])c2ccccc2C1=O
0,test,Cc1cc(C)cc(S(=O)(=O)[O-])c1
1,training,Cc1cc(C)nc(-c2ccc([N+](=O)[O-])o2)n1
1,training,Cc1cc(-c2ccc(N)c(C)c2)ccc1N
0,training,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
1,training,Cc1cc(Cc2ccc(N)c(C)c2)ccc1N
0,training,Cc1cc(Cl)ccc1N
0,training,Cc1cc(Cl)ccc1OCC(=O)O
0,training,Cc1cc(N)ccc1N
1,training,Cc1cc(N=Nc2ccccc2C)ccc1N
0,training,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
0,training,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
0,training,Cc1cc(O)ccc1O
1,training,Cc1cc2c(nc1[NH3+])[nH]c1ccccc12
1,test,Cc1cc2c(nc1N)[nH]c1ccccc12
0,training,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
1,training,Cc1ccc([N+](=O)[O-])cc1
0,training,Cc1ccc([N+](=O)[O-])cc1N
0,training,CC1CCC(C(C)C)C(O)C1
1,training,Cc1ccc(C)c(C)c1
1,training,Cc1ccc(C)c(N)c1
1,training,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
0,training,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
1,training,Cc1ccc(Cc2cnc(NCCSCc3ccc(CN(C)C)o3)[nH]c2=O)cn1
0,training,Cc1ccc(Cl)cc1N
0,training,Cc1ccc(N)c(C)c1
0,training,Cc1ccc(N)cc1
0,training,Cc1ccc(N)cc1Cl
1,training,Cc1ccc(N)cc1N
1,training,Cc1ccc(N/N=C2\C(=O)C(S(=O)(=O)[O-])=Cc3ccc(S(=O)(=O)[O-])cc32)c(C)c1
1,training,Cc1ccc(N/N=C2\C(=O)C=Cc3ccccc32)c([N+](=O)[O-])c1
1,training,Cc1ccc(N=C=O)cc1N=C=O
0,training,Cc1ccc(NC(N)=O)cc1
0,valid,Cc1ccc(O)c(C(C)(C)C)c1
1,training,Cc1ccc(O)c(O)c1
0,training,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1
0,training,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
1,training,Cc1ccc(S(=O)(=O)Oc2ccc(N=Nc3ccc(-c4ccc(N/N=C5\C(=O)C=Cc6cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c65)c(C)c4)cc3C)cc2)cc1
1,test,Cc1ccc(S(=O)(=O)OCC(N)CN=O)cc1
1,training,Cc1ccc(S(=O)(=O)OCCN(C)N=O)cc1
0,training,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1ccccc1S2
1,training,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O
1,training,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O
0,training,Cc1ccc2c(-c3cccc(O)c3)nc(=O)n(C(C)C)c2c1
