IGC50,group,smiles
2.6099999,test,O=C(O)c1ccc(Cl)cc1Cl
1.35,test,CCOC(N)=O
5.1799998,test,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
2.7,test,O=C(O)c1ccccc1
2.8269999,test,CCCCCC=O
3.46,test,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-]
4.6999998,test,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
6.04,test,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
1.569,test,CCCCO
3.3399999,test,CCC(C)(O)CCCC(C)C
2.6800001,test,CC(C)CBr
1.628,test,CC(C)CO
2.4400001,test,CC(N)CN
4.5100002,test,C=CC(C)=O
2.0699999,test,CC(O)CN
1.4299999,test,CCOC(=O)C(C)(C)O
3.122,test,CCC(Br)C(=O)O
3.5599999,test,Cc1cccc([N+](=O)[O-])c1C
3.8,test,O=C1C=C(O)C(=O)c2ccccc21
4.5999999,test,CCCCOC(=O)c1ccccc1C(=O)OCCCC
3.4300001,test,ClCc1cccc2ccccc12
3.3800001,test,Cc1c(N)cccc1Cl
4.21,test,Clc1cccc(Cl)c1Cl
4.1999998,test,Cc1cc(O)cc(C)c1Cl
2.848,test,CCC(CC)C(=O)O
4.6500001,test,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F
3.6099999,test,CC(C)c1ccccc1O
3.26,test,Cc1ccccc1[N+](=O)[O-]
3.0799999,test,Nc1ccccc1[N+](=O)[O-]
3.8199999,test,Cc1ccc(Cl)cc1[N+](=O)[O-]
4.5300002,test,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl
3.49,test,O=Cc1ccccc1Cl
2.49,test,COc1ccccc1O
4.8600001,test,Brc1cccc2ccccc12
5.1700001,test,Ic1cccc2ccccc12
4.0900002,test,Oc1ccccc1-c1ccccc1
2.4000001,test,COc1cccc(OC)c1O
2.7,test,c1ccc2nccnc2c1
2.9300001,test,COc1ccccc1[N+](=O)[O-]
3.9200001,test,CC(=O)c1ccc(-c2ccccc2)cc1
2.6400001,test,CCOc1ccccc1O
3.26,test,c1ccc2sccc2c1
3.9400001,test,Nc1ccccc1O
3.1800001,test,Oc1ccccc1Cl
2.71,test,Cc1ccc(N)c(C)c1
3.3499999,test,Cc1cc(Cl)ccc1N
4.0700002,test,Cc1ccc(Cl)c(Cl)c1
3.2,test,Cc1ccc(Cl)c(N)c1
2.6889999,test,CCC(C)C=O
1.37,test,OCC(O)CCl
4.9590001,test,COC(=O)CBr
2.4100001,test,Clc1cccs1
5.1599998,test,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
2.73,test,C=C(C)C(=O)OCCCC
2.98,test,O=Cc1ccco1
2.73,test,ClC(Cl)(Cl)c1ccccc1
2.3399999,test,CC(O)c1ccccc1
4.1599998,test,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
3.47,test,Nc1cc([N+](=O)[O-])ccc1O
3.98,test,CCC(C)c1ccc(O)cc1
3.47,test,CC(C)c1ccc(O)cc1
2.7,test,CC(=O)c1ccc(O)cc1
3.6500001,test,Cc1ccc([N+](=O)[O-])cc1
3.4300001,test,O=[N+]([O-])c1ccc(Cl)cc1
4.1199999,test,Nc1ccc([N+](=O)[O-])cc1
3.8299999,test,CCOc1ccc([N+](=O)[O-])cc1
3.0599999,test,ClCc1ccccc1
2.48,test,N#Cc1ccccc1
2.1700001,test,OCc1ccccc1
2.204,test,ON=C1CCCCC1
2.9000001,test,COc1ccccc1
4.0100002,test,Oc1cccc(Nc2ccccc2)c1
2.5999999,test,COC(=O)Cc1ccccc1
4.04,test,Oc1ccc(OCc2ccccc2)cc1
3.5799999,test,COC(=O)/C=C/c1ccccc1
2.8599999,test,CCOc1ccccc1
3.6099999,test,NC(=S)Nc1ccccc1
4.0700002,test,CCCCc1ccc(N)cc1
3.4000001,test,COc1ccc(Br)cc1
2.51,test,CCCC(=O)OCC
2.24,test,CCNC(=S)NCC
3.5599999,test,Clc1ccc(Br)cc1
3.05,test,Nc1ccc(Cl)cc1
3.54,test,Oc1ccc(Cl)cc1
2.293,test,CCCN
2.447,test,C#CC(C)(O)CC(C)C
3.21,test,CCCC(C)Br
3.22,test,Nc1cccc(Cl)c1
3.1099999,test,Cc1cc(C)cc(O)c1
3.0799999,test,Brc1ccccc1
2.01,test,Cc1cccnc1
2.8199999,test,CCCCBr
2.8,test,CCCCC
2.427,test,CCCCN
2.296,test,NCCCN
1.91,test,c1cc[nH]c1
1.73,test,CC(=O)OCC(C)C
2.513,test,CCCCCC(C)=O
1.351,test,CCNCCO
2.99,test,C1=CCCCC1
2.7320001,test,O=C(O)CCCCCCCCC(=O)O
2.997,test,CCCSCCC
3.415,test,CCCCCCCC(=O)Cl
1.626,test,CCCCOCCO
4.04,test,CCCCCC/C=C/C(=O)OC
4.2820001,test,CCCCCCCCCC=O
3.898,test,CCCCCCCCCCC(=O)O
5.1609998,test,CCCCCCCCCCCCO
4.7600002,test,CCCCCCCCCCCC=O
5.4499998,test,CCCCCCCCCCCCCO
4.6700001,test,CCCCCCCCCCCCCCO
3.8800001,test,Nc1ccc(O)c([N+](=O)[O-])c1
4.0799999,test,Clc1ccc(Cl)c(Cl)c1
4.04,test,Oc1ccc(Cl)cc1Cl
2.6199999,test,CC(=O)c1cccc(O)c1
3.75,test,Nc1ccc([N+](=O)[O-])cc1Cl
3.3099999,test,COC(=O)c1ccc(OC)cc1
2.77,test,CC(=O)Oc1ccccc1
2.78,test,CC(=O)Nc1ccc(C=O)cc1
3.161,test,CCCCC(C=O)CC
3.21,test,CCc1ccc(O)cc1
3.266,test,O=Cc1ccc(O)cc1
2.1489999,test,CCOC(=O)CCC(=O)OCC
2.7279999,test,CC(=O)CC(C)=O
3.483,test,CCCCCCCC=O
2.8199999,test,C#CC(C)(O)c1ccccc1
2.5599999,test,COC(=O)c1ccccc1C(=O)OC
2.7579999,test,CCOC(=O)C(CC)C(=O)OCC
4.4000001,test,Cc1ccc(C(=O)c2ccccc2)cc1
4.5,test,O=C(c1ccccc1)c1ccc(Cl)cc1
3.79,test,Oc1ccc2ccccc2c1
5.0999999,test,CC(C)(C)CC(C)(C)c1ccc(O)cc1
3.6400001,test,C=CCc1ccc(OC)cc1
2.3599999,test,CC(=O)C=C(C)C
2.2909999,test,O=C(O)CC(=O)O
2.8599999,test,COc1ccc(O)cc1
5.04,test,c1ccc2c(c1)Oc1ccccc1S2
3.96,test,O=C(c1ccccc1)c1ccccc1F
2.6300001,test,Nc1ccccc1F
3.1900001,test,Oc1ccccc1F
2.9000001,test,Nc1cccc(F)c1
3.3800001,test,Oc1cccc(F)c1
3.04,test,CC(=O)c1cc(F)ccc1O
3.9300001,test,O=[N+]([O-])c1ccc(O)cc1F
3.25,test,Cc1ccc(F)cc1[N+](=O)[O-]
3.154,test,O=Cc1cccc(F)c1
3.1099999,test,Fc1ccc(Br)cc1
2.7060001,test,C#CC(=O)O
3.28,test,Cc1cccc(O)c1O
3.98,test,Oc1c(O)c(Br)c(Br)c(Br)c1Br
3.21,test,CCCC(=O)c1ccccc1
2.3,test,COc1cc(CO)ccc1O
4.3099999,test,CCCCCc1cc(O)cc(O)c1
2.9100001,test,COc1cc(O)cc(OC)c1
3.0739999,test,CCCCC(=O)CCCC
2.6099999,test,Cc1cc(O)cc(O)c1
3.1199999,test,Cc1cccc(O)c1C
3.9300001,test,Cc1cc(O)cc(C)c1C
2.05,test,Cc1ccccc1C(N)=O
3.0109999,test,Cc1ccccc1C=O
3.1800001,test,CC(C)c1ccc(CO)cc1
2.54,test,CCc1ccncc1
3.8499999,test,Oc1ccc(I)cc1
1.215,test,CCCC(N)=O
3.3,test,CCCCI
2.0009999,test,N#CCCCl
3.1700001,test,CCCCCCl
4.04,test,CCCCSCCCC
3.72,test,COc1cccc([N+](=O)[O-])c1
1.12,test,CC(C)C(N)=O
2.6600001,test,C/C=C(\C)C(C)=O
3.8299999,test,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O
4.3099999,test,Cc1ccc2ccccc2c1C
2.78,test,CCc1ccccc1N
4.3499999,test,Oc1cccc(-c2ccccc2)c1
4.4099998,test,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1
3.1800001,test,O=C(O)c1ccc(Br)cc1
2.51,test,Cc1ccc(CO)cc1
3.3499999,test,Brc1ccc(I)cc1
2.066,test,CCCCOC=O
2.6900001,test,C=CCSCC=C
3.3529999,test,CCC(C)(C)N=C=S
2.2909999,test,CC(C)C(C)N
2.8399999,test,CCC(=O)C(C)=O
3.8599999,test,Cc1cc(C)c([N+](=O)[O-])c(C)c1
5.04,test,c1ccc(-c2cccc3ccccc23)cc1
4.8899999,test,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O
3.9000001,test,Nc1c(Br)cccc1Br
3.74,test,O=[N+]([O-])c1ccco1
3.51,test,O=[N+]([O-])c1cccs1
4.23,test,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
2.1500001,test,COC(=O)c1ccco1
2.944,test,COc1ccc(C=O)c(OC)c1
3.46,test,O=[N+]([O-])c1ccc2ncccc2c1
4.5100002,test,O=C(/C=C/c1ccccc1)c1ccccc1
4.2600002,test,Oc1ccc(O)c(Cl)c1
3.8599999,test,CCCCC(Br)C(=O)OCC
1.188,test,NCC(O)CO
2.29,test,N#Cc1ccco1
3.6400001,test,BrC(Br)c1ccccc1
3.6099999,test,O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1
2.22,test,NC(=O)c1ccc(O)cc1
2.97,test,Cc1ccc(C=O)o1
3.29,test,N#Cc1ccc(Br)cc1
2.24,test,C/C=C/C(=O)OCC
5.4689999,test,N#CCI
3.6210001,test,CCCCOS(=O)(=O)OCCCC
3.1800001,test,O=Cc1cccc(C=O)c1
3.71,test,Nc1cc(Cl)cc(Cl)c1
2.29,test,Clc1cccnc1
1.834,test,C#CCOC(C)=O
2.5899999,test,CCCCC[N+](=O)[O-]
4.046,test,BrCCCCCCBr
4.3600001,test,CCCCCCCCl
1.505,test,OCCCCCCO
4.96,test,Nc1cc(Cl)c(Cl)c(Cl)c1Cl
4.3000002,test,Nc1cc(Cl)c(Cl)cc1Cl
3.04,test,CCCCCC[N+](=O)[O-]
2.9000001,test,O=C(c1cccs1)C(F)(F)F
2.0699999,test,Cc1cc(C)oc(=O)c1
2.0899999,test,Cc1ncc[nH]1
1.76,test,CCC1CCC(=O)O1
5.23,test,O=Cc1ccc([N+](=O)[O-])o1
2.74,test,Cc1ccc(CCO)cc1
4.3400002,test,Cc1cc(O)c(C)c(C)c1O
3.6170001,test,COc1cc(O)c(C=O)c(OC)c1
3.52,test,N#Cc1ccc(O)cc1
3.26,test,Nc1c(F)c(F)c(F)c(F)c1F
4.1199999,test,Nc1ccc([N+](=O)[O-])c2ccccc12
3.77,test,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
4.9250002,test,BrC/C=C/CBr
2.1589999,test,C=CCCCCO
3.24,test,N#Cc1ccc(N)cc1
3.0999999,test,COc1ccc(C#N)cc1
1.161,test,C#CCCO
3.6270001,test,CCCCCCCC(=O)CC
2.223,test,CCC/C=C\CO
2.223,test,CC/C=C/CCO
2.6500001,test,ClC1CCCC1
5.3699999,test,Oc1cc(Cl)cc(Cl)c1Cl
4.1900001,test,CCCCCC(=O)c1ccccc1
2.8110001,test,CCCCC#CCO
3.0899999,test,Brc1cccs1
2.95,test,O=C1CCC(c2ccccc2)O1
3.47,test,c1ccc(-c2cccnc2)cc1
5.1100001,test,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1
3.49,test,Nc1ccc(Br)cn1
3.013,test,C=CCCCBr
1.8,test,CC1CCCC1=O
4.5599999,test,Oc1ccc(C2CCCCC2)cc1
4.02,test,O=C(c1ccccc1)c1ccc(O)cc1
3.6259999,test,SCCCCCCS
4.191,test,SCCCCCCCCS
2.74,test,N#Cc1ccc(F)cc1
4.6999998,test,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
3.49,test,OCCc1ccc2ccccc2c1
4.29,test,Oc1ccc(C2CCCC2)cc1
2.6240001,test,CC/C=C(\C)C(=O)OC
3.6600001,test,CC/C=C/C=O
1.87,test,Nc1cccc(CO)c1
3.1099999,test,C=CS(=O)(=O)CC
3.1300001,test,O=Cc1ccc(Br)o1
2.79,test,COC(=O)COc1ccccc1
1.368,test,C#CCC(C)O
3.6099999,test,COC(=O)c1ccc(O)cc1O
3.1340001,test,CCCC(C(=O)OCC)C(=O)OCC
3.1159999,test,C=CC(=O)Nc1ccccc1
1.693,test,C=CC(=O)NC(C)C
3.77,test,Nc1ccc(F)c(C(F)(F)F)c1
2.22,test,C=C(C)C(=O)OCCOCC
2.174,test,C#CCN
3.4590001,test,CCCCCCC(=O)Cl
4.1999998,test,CCCCC/C=C/C=O
5.02,test,O=CC#Cc1ccccc1
4.1300001,test,Oc1ccc(F)c(Cl)c1
3.4909999,test,CCCCCCC(Br)C(=O)O
1.6799999,test,CC1=CC(=O)CC1
2.1500001,test,CN(C)C(=S)N(C)C
3.03,test,CCOC(=O)c1cccs1
3.75,test,O=[N+]([O-])c1ccc(O)c(CCl)c1
3.6199999,test,COc1cc(C=O)cc(Br)c1O
3.6099999,test,O=Cc1ccc(O)c([N+](=O)[O-])c1
2.54,test,CC(O)C#CC(C)O
2.6199999,test,N#Cc1ccc(C(N)=O)cc1
2.7190001,test,CCOC(=O)CCCCl
4,test,c1cc(-c2ccsc2)cs1
4.276,test,CC#CCBr
3.99,test,C=CS(C)(=O)=O
3.5999999,test,CCCCCC/C=C/C(=O)O
3.9200001,test,CCCCCc1ccco1
2.79,test,CCCC(=O)C(C)=O
2.0420001,test,NCCCCCCO
3.9860001,test,CCCCCCCC#CCO
2.99,test,Nc1ncccc1[N+](=O)[O-]
3.4100001,test,C=CC(=O)OCCC(C)C
1.78,test,CCCS(=O)CCC
3.6099999,test,CCCCOc1ccc(N)cc1
1.327,test,CC(C)(C)NCCO
2.1199999,test,C=C(C)C(=O)OC(C)C
5.4089999,test,CC(C)(C)OC(=O)CBr
3.1029999,test,CCCCC/C(C)=N/O
1.373,test,CCCC(O)CO
1.9299999,test,Nc1ccccc1CO
2.9200001,test,COC(=O)CCCCBr
2.3900001,test,CCCCOC(=O)CC#N
5.3769999,test,CC(C)(C)C(=O)CBr
4.2199998,test,CCCC/C=C/C=C/C=O
2.3659999,test,N#CCCCCCl
1.2970001,test,CCOCCCN
5.21,test,O=[N+]([O-])c1cc(Cl)c(Cl)cc1[N+](=O)[O-]
2.4200001,test,OC1CCc2ccccc21
3.53,test,O=Cc1cc([N+](=O)[O-])ccc1Cl
3.77,test,CCC/C=C/C=O
3.5899999,test,NC(=O)c1cc(Cl)ccc1O
2.3399999,test,NCCCN1CCN(CCCN)CC1
3.48,test,CCOC(=O)c1cccc(O)c1
5.0300002,test,CCCCCCCOc1ccc(O)cc1
2.872,test,CCC/C=C/C(=O)O
2.6300001,test,C#CCOC(=O)C(=C)C
3.1300001,test,CCCCC(=O)CC(C)=O
2.51,test,C#CCCCCl
3.6199999,test,Cc1ccsc1Br
3.2179999,test,CCOC(=O)CCCCBr
4.921,test,NC(=O)C(Br)CBr
1.4579999,test,CCC(C)O
3.9979999,test,CCC(Br)C(Br)CC
2.71,test,Oc1cccc(Cl)n1
2.6900001,test,CCCCCOC(=O)CC#N
4.5100002,test,O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl
2.9000001,test,OCc1ccccc1Cl
4.1440001,test,C=CC(=O)OCCC(C)OC(=O)C=C
5.8200002,test,O=[N+]([O-])c1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl
3.194,test,CCCCCC#CCO
3.5120001,test,N#CCCCCCCBr
5.77,test,CCCCc1ccc(N=C=S)cc1
4.9400001,test,CCCCCCCCCCNC(N)=S
3.47,test,Oc1c(F)cccc1F
3.6099999,test,CCC(C)c1ccc(N)cc1
3.96,test,CCCCc1ccsc1
5.3099999,test,CCCOC(=O)CBr
4.3600001,test,COc1ccc([N+](=O)[O-])c(Cl)n1
5.1680002,test,CC(Br)C(=O)C(=O)C(C)Br
4.8860002,test,Cc1cc(C)cc(N=C=S)c1
4.0419998,test,OCCCCCCCCBr
5.3670001,test,CCCCCCCCCCC#CCO
3.51,test,NC(=O)c1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1
3.401,test,CCC#CC(O)CC(C)C
3.6170001,test,C#CC(O)CC(C)C
1.5,test,O=S(=O)([O-])c1ccc[n+](Cc2ccccc2)c1
3.97,test,COc1c(F)cc(Br)cc1[N+](=O)[O-]
4.6110001,test,CCCCCCCC/C=C/CO
3.75,test,Nc1cc(F)c(F)cc1[N+](=O)[O-]
4.0900002,test,O=[N+]([O-])c1ccc(CO)cc1[N+](=O)[O-]
3.0799999,test,C=CCC(C)/C=C(/C)C=O
2.8900001,test,CCC(CO)c1ccccc1
2.2820001,test,CC(C)(C)[C@H](N)CO
5.1100001,test,O=[N+]([O-])c1cc(N=C=S)ccc1Cl
2.3299999,training,O=C(O)c1c(Cl)cccc1Cl
2.54,training,O=C(O)c1cc(Cl)ccc1Cl
4.0599999,training,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
3.27,training,O=C(O)c1cc(Cl)cc(Cl)c1
3.3099999,training,O=C(O)c1ccc(Cl)c(Cl)c1
2.0899999,training,NC(=O)c1ccccc1
2.98,training,ClC(Cl)(Cl)Cl
0.49000001,training,CC(O)CO
2.875,training,O=C1CCO1
4.54,training,CC1=CC(=O)c2ccccc2C1=O
2.4100001,training,OCCc1ccccc1
0.67799997,training,CC(N)=O
1.6799999,training,NC(N)=S
1.0089999,training,CCO
2.302,training,CCOS(=O)(=O)OCC
2.76,training,NC(=O)c1ccccc1O
3.4230001,training,O=Cc1cccc2ccccc12
4.2600002,training,O=Cc1ccc(Oc2ccccc2)cc1
0.33399999,training,CO
1.118,training,CC(C)O
0.796,training,CC(C)=O
0.54799998,training,CS(C)=O
0.80000001,training,CS(C)(=O)=O
2.49,training,O=C(O)c1ccccc1O
5.8239999,training,O=C(CBr)c1ccccc1
4.71,training,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1
1.2539999,training,CCCO
1.97,training,CCCCCO
2.8800001,training,c1ccccc1
3.1099999,training,O=C(O)c1ccc(Cl)cc1
0.72299999,training,CC#N
2.1370001,training,CC(C)N
2.1029999,training,CC(C)(C)N
1.209,training,CC(C)(C)O
3.1129999,training,OCC(Br)(Br)Br
2.1300001,training,CC(C)(C)CO
1.827,training,CCC(C)(C)O
1.558,training,CC(=O)C(C)(C)C
2.7460001,training,CC(C)(C)C(=O)O
1.677,training,C#CC(C)(O)CC
4.4099998,training,C=CS(=O)(=O)C=C
2.7379999,training,CC(C)CN
1.381,training,CC(C)C#N
2.5669999,training,CC(C)C=O
3.6700001,training,C=C(C)C=O
1.2539999,training,CCC(C)=O
0.91000003,training,CCC(N)=O
2.1930001,training,C=CC(N)=O
2.4879999,training,CCC(=O)O
1.405,training,COC(C)=O
2.6670001,training,CC(C)C(=O)O
4.23,training,CCC(C)(C)c1ccc(O)cc1
1.78,training,C=C(C)C(=O)OC
3.3699999,training,Cc1c[nH]c2ccccc12
3.6800001,training,Cc1c(Cl)cccc1[N+](=O)[O-]
3.23,training,CCOC(=O)c1ccccc1C(=O)OCC
4.4400001,training,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
4.3000002,training,O=[N+]([O-])c1ccccc1-c1ccccc1
3.6900001,training,N#Cc1cccc2ccccc12
4,training,O=[N+]([O-])c1cccc2ccccc12
3.9100001,training,c1ccc2c(c1)[nH]c1ccccc12
2.9200001,training,O=C(OCCO)c1ccccc1O
2.5699999,training,Cc1cccc(N)c1C
2.5699999,training,Cc1cccc(C)c1N
3.73,training,Oc1c(Cl)cccc1Cl
3.8499999,training,Oc1cccc(O)c1O
5.0700002,training,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
5.1100001,training,Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl
2.95,training,Cc1cc(C)c(N)c(C)c1
4.4099998,training,Oc1c(Cl)cc(Cl)cc1Cl
2.4100001,training,CC(=O)c1cccs1
4.29,training,CC(C)(C)c1ccccc1O
2.53,training,O=C(O)c1ccccc1Br
2.1300001,training,NC(=O)c1ccccc1N
3.6800001,training,O=[N+]([O-])c1ccccc1Cl
3.6700001,training,O=[N+]([O-])c1ccccc1O
4.1300001,training,O=[N+]([O-])c1cc(Cl)ccc1Cl
5.1199999,training,O=[N+]([O-])c1cc(Cl)ccc1O
4.8499999,training,Cc1cc(O)c(C(C)C)cc1Cl
3.3800001,training,O=C(NO)c1ccccc1O
3.25,training,CC(=O)c1ccc(O)cc1O
2.5699999,training,Cc1ccccc1CO
3.1600001,training,CCc1ccccc1O
2.05,training,OCc1ccccc1O
3.4200001,training,O=Cc1ccccc1O
2.3099999,training,COc1ccccc1N
3.74,training,Cc1cccc2ccccc12
3.8099999,training,Clc1cccc2ccccc12
3.75,training,Oc1cccc2ccccc12
4.6500001,training,O=Cc1cc(Br)cc(Br)c1O
4.5500002,training,O=Cc1cc(Cl)cc(Cl)c1O
2.48,training,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1
4.2600002,training,O=C(c1ccccc1)c1ccc(Br)cc1
3.5,training,OC(c1ccccc1)c1ccccc1
2.6600001,training,N#Cc1ccccc1C#N
2.8800001,training,c1ccc2ccccc2c1
3.0899999,training,c1ccc2ncccc2c1
4.0799999,training,Cc1ccc2ccccc2c1
3.6600001,training,CCN(CC)c1ccccc1
4.0500002,training,c1ccc(-c2ccccc2)cc1
4.3899999,training,Oc1ccc(-c2ccccc2)cc1
4.4000001,training,c1ccc2nc3ccccc3nc2c1
2.5699999,training,CCC(O)c1ccccc1
2.9300001,training,CCC(=O)c1ccccc1
3.23,training,COC(=O)c1ccccc1
2.99,training,CCOC(=O)c1ccccc1
3.5699999,training,CC(=O)CC(=O)c1ccccc1
4.3499999,training,O=C(Oc1ccccc1)c1ccccc1
4.046,training,C=COC(=O)C(CC)CCCC
3.6800001,training,CCOC(=O)c1ccc(C)cc1
3.7,training,CCOC(=O)c1ccc(N)cc1
4.5500002,training,O=C(OCc1ccccc1)c1ccc(O)cc1
4.3299999,training,CCCCOC(=O)c1ccc(O)cc1
3.77,training,CCOC(=O)c1ccc(OC)cc1
3.25,training,O/N=C/c1ccccc1O
3.5150001,training,O=Cc1ccc(O)cc1O
2.97,training,c1ccc2scnc2c1
2.71,training,Cc1ccccc1O
