LC50DM,group,smiles
4.9619999,test,C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O
5.2909999,test,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
3.0739999,test,CCOc1cc(NC(C)=O)ccc1C(=O)OC
4.8530002,test,Cc1cc(O)ccc1Cl
3.635,test,CC(N)=S
0.58700001,test,CCO
4.039,test,CCCCCC=O
0.495,test,CS(C)=O
0.70599997,test,CN(C)C=O
2.467,test,c1ccccc1
4.6350002,test,CBr
2.5869999,test,ClCCl
3.506,test,C=C(Cl)Cl
4.4029999,test,ClC(Cl)C(Cl)(Cl)Cl
6.7810001,test,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
3.171,test,CCC(=O)O
3.7920001,test,C=C1C2CCC(C2)C1(C)C
4.1440001,test,Cc1ccccc1[N+](=O)[O-]
4.0240002,test,O=[N+]([O-])c1ccccc1O
4.474,test,O=Cc1ccccc1O
5.3800001,test,Oc1ccccc1-c1ccccc1
4.0510001,test,c1ccc2ccccc2c1
4.0339999,test,O=c1ccc2ccccc2o1
3.4990001,test,O=C(O)COc1ccc(Cl)cc1Cl
5.7470002,test,Nc1ccc(Cl)c(Cl)c1
3.9749999,test,Cc1ccc([N+](=O)[O-])cc1C
4.3150001,test,Cc1ccc(C(C)C)cc1
5.7490001,test,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
2.8369999,test,CCOC(=O)CC
4.4260001,test,Oc1ccc(Cl)cc1
5.8299999,test,C=CC=O
3.7839999,test,C=CC#N
3.756,test,CCCCNC(=S)NCCCC
3.3559999,test,CCCCC(=O)O
3.941,test,C1=CCCCC1
2.7750001,test,ClCCOCCCl
0.51999998,test,OCCOCCOCCO
6.4489999,test,CC1(C)C2CCC1(C)C(OC(=O)CSC#N)C2
3.711,test,c1ccc2cnccc2c1
4.6550002,test,Clc1ccc(Cl)c(Cl)c1
3.7160001,test,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
1.893,test,CC(=O)CC(C)=O
4.9949999,test,c1ccc2c(c1)oc1ccccc12
4.2210002,test,O=c1cc[nH]c(=S)[nH]1
1.2359999,test,CCC(O)C(C)CO
4.8920002,test,c1ccc2nc3ccccc3cc2c1
9.1610003,test,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1
5.4229999,test,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl
4.3099999,test,Clc1cccc(Cl)c1
5.4169998,test,CN=C=S
4.329,test,BrC=C(Br)Br
5.4629998,test,Oc1cc(Cl)c(Cl)c(Cl)c1
4.9060001,test,CN1CCCC1=O
7.96,test,CCOP(=S)(CC)Sc1ccccc1
4.0009999,test,O=S1c2ccccc2-c2ccccc21
2.829,test,CC(C)OP(C)(=O)OC(C)C
4.5599999,test,CC(C)c1ccc2c(c1)CCC1[C@]2(C)CCC[C@@]1(C)C(=O)O
4.3610001,test,CCNc1nc(Cl)nc(NC(C)C)n1
2.346,test,NC(=O)c1c(Cl)cccc1Cl
5.4239998,test,Clc1ccccc1-c1ccccc1
2.1860001,test,CNC(=S)N(C)C
6.1859999,test,CCCN(CCC)C(=S)SSC(=S)N(CCC)CCC
2.2349999,test,CN(C)C(=S)N(C)C
9.1470003,test,CCOP(=S)(OCC)OP(=S)(OCC)OCC
5.4400001,test,Cc1cc(O)c(C(C)C)cc1N=Nc1ccc(S(=O)(=O)c2ccc(N=Nc3cc(C(C)C)c(O)cc3C)cc2)cc1
5.2709999,test,C=C(C)[C@H]1CC=C(C)CC1
6.2509999,test,N#CSCSC#N
4.4850001,test,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1
6.8470001,test,CCCCNC(=O)OCC#CI
4.7199998,test,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
7.4699998,training,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
4.592,training,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
9.0880003,training,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.8510001,training,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
3.6429999,training,ClC(Cl)(Cl)Cl
8.2690001,training,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
5.3699999,training,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
6.2189999,training,c1ccc2cc3c(ccc4ccccc43)cc2c1
4.632,training,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
5.5450001,training,CC1=CC(=O)c2ccccc2C1=O
5.211,training,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
6.006,training,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
3.1029999,training,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
5.1430001,training,CNC(=O)CSP(=S)(OC)OC
5.4130001,training,Nc1ccccc1
3.927,training,NC(N)=S
9.415,training,COP(=O)(OC)OC=C(Cl)Cl
5.3039999,training,CNC(=O)Oc1cccc2ccccc12
0.98900002,training,CO
0.67199999,training,CC(C)=O
3.2539999,training,ClC(Cl)Cl
4.9429998,training,ClC(Cl)(Cl)C(Cl)(Cl)Cl
0.94400001,training,CCCO
4.0760002,training,CC(Cl)(Cl)Cl
6.428,training,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
7.335,training,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
1.057,training,CC#N
5.5630002,training,CCS
2.3429999,training,C1CO1
3.74,training,BrC(Br)Br
6.5120001,training,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
3.0610001,training,CC1=CC(=O)CC(C)(C)C1
3.306,training,CC(Cl)CCl
3.691,training,CCC(Cl)Cl
3.4920001,training,ClCC(Cl)Cl
3.378,training,ClC=C(Cl)Cl
2.648,training,C=CC(N)=O
3.4690001,training,ClC(Cl)C(Cl)Cl
4.2509999,training,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
3.5220001,training,CC1=CCC2CC1C2(C)C
5.3790002,training,c1cc2c3c(cccc3c1)CC2
4.5560002,training,Cc1cccc([N+](=O)[O-])c1C
8.0279999,training,C=C(C)[C@H]1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
3.6129999,training,CCOC(=O)c1ccccc1C(=O)OCC
4.8759999,training,CCCCOC(=O)c1ccccc1C(=O)OCCCC
5.3660002,training,c1ccc2c(c1)ccc1ccccc12
4.3850002,training,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
4.4050002,training,O=NN(c1ccccc1)c1ccccc1
5.5219998,training,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
5.1469998,training,Oc1c(Cl)cc(Cl)cc1Cl
3.6619999,training,O=[N+]([O-])c1ccccc1Cl
6,training,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
3.431,training,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
4.2659998,training,Cc1ccc(Cl)cc1[N+](=O)[O-]
4.2420001,training,O=[N+]([O-])c1cc(Cl)ccc1Cl
3.6800001,training,COc1ccccc1O
5.007,training,Clc1cccc2ccccc12
3.5309999,training,c1ccc2ncccc2c1
4.9089999,training,c1ccc(-c2ccccc2)cc1
4.6669998,training,Oc1ccc(-c2ccccc2)cc1
3.9530001,training,c1ccc2c(c1)Cc1ccccc1O2
3.3570001,training,c1ccc2sccc2c1
3.79,training,Cc1ccccc1C
3.855,training,Cc1ccccc1O
4.8060002,training,Clc1ccccc1Cl
5.461,training,Nc1ccccc1Cl
5.3140001,training,Cc1ccccc1N
4.2379999,training,Oc1ccccc1Cl
4.744,training,Nc1cc(Cl)ccc1Cl
4.921,training,Oc1cc(Cl)c(Cl)cc1Cl
3.5880001,training,S=C1NCCN1
5.4029999,training,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
4.8559999,training,CN(C)C(=S)SC(=S)N(C)C
6.3930001,training,CCN(CC)C(=S)SSC(=S)N(CC)CC
3.684,training,CC(C)c1ccccc1
3.6589999,training,O=[N+]([O-])c1ccccc1
3.592,training,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
4.8670001,training,CC1=CC=C(C(C)C)CC1
4.0599999,training,Cc1ccc([N+](=O)[O-])cc1
4.3099999,training,O=[N+]([O-])c1ccc(Cl)cc1
4.072,training,O=[N+]([O-])c1ccc(O)cc1
3.7609999,training,CCc1ccccc1
3.451,training,C=Cc1ccccc1
5.7909999,training,CNc1ccccc1
6.118,training,Brc1ccc(Oc2ccccc2)cc1
5.4050002,training,c1ccc(Oc2ccccc2)cc1
3.5320001,training,S=C(Nc1ccccc1)Nc1ccccc1
5.46,training,CCNc1ccccc1
6.131,training,S=C=Nc1ccccc1
3.4119999,training,NC(=S)Nc1ccccc1
5.572,training,COc1ccc(N)cc1
4.7649999,training,Cc1ccc(O)c(C)c1
4.4640002,training,Oc1ccc(Br)cc1
3.517,training,Cc1ccc(C)cc1
3.71,training,Cc1ccc(O)cc1
4.1300001,training,Clc1ccc(Cl)cc1
6.4070001,training,Nc1ccc(Cl)cc1
3.5999999,training,ClCC1CO1
6.1040001,training,CCCS
2.527,training,ClCCCl
2.582,training,OCCCl
3.128,training,C=CCN
3.3559999,training,NCCN
0.117,training,OCCO
3.1600001,training,CCCC(=O)O
2.3540001,training,CC(C)NC(C)C
3.467,training,Cc1cccc(C)c1
3.76,training,Cc1cccc(O)c1
6.1059999,training,Nc1cccc(Cl)c1
5.1669998,training,Cc1cccc(N)c1
3.8900001,training,BrC1CCCCC1
3.937,training,Clc1ccccc1
3.8499999,training,Oc1ccccc1
3.1159999,training,CCNCC
2.98,training,OCCNCCO
3.233,training,CCCCCCCO
1.531,training,CCOCCOCCO
2.9349999,training,ClCCOCOCCCl
5.2199998,training,CNC(=O)Oc1ccccc1OC(C)C
3.0039999,training,OCC(Cl)(Cl)Cl
5.5139999,training,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
5.5139999,training,CNC(=O)O/N=C/C(C)(C)SC
4.711,training,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl
4.5500002,training,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
6.9060001,training,Oc1c(Br)cc(Br)cc1Br
4.4089999,training,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
5.0689998,training,c1ccc2[nH]ccc2c1
1.187,training,O=C1NCCN1
3.839,training,O=[N+]([O-])c1cccc(Cl)c1
7.658,training,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
4.4889998,training,Nc1ccc([N+](=O)[O-])cc1Cl
7.7529998,training,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
4.6529999,training,c1ccc(NNc2ccccc2)cc1
3.898,training,CCCCCCCCCC
2.9549999,training,CNC
4.8629999,training,CCCCOP(=O)(OCCCC)OCCCC
3.964,training,ClC(Cl)=C(Cl)Cl
6.0370002,training,c1cc2ccc3cccc4ccc(c1)c2c34
3.77,training,COC(=O)c1ccccc1C(=O)OC
5.6199999,training,c1ccc2c(c1)sc1ccccc12
4.6100001,training,Oc1ccc2ccccc2c1
6.059,training,CN(C)C(=S)SSC(=S)N(C)C
6.6430001,training,C=C(C)C1CC=C(C)CC1
2.7360001,training,O=C(O)CN(CC(=O)O)CC(=O)O
6.3600001,training,CC(C)(C)CC(C)(C)c1ccc(O)cc1
2.6059999,training,ClCCCCl
3.7,training,CCCCOCCCC
6.3940001,training,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
3.135,training,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
4.494,training,S=c1[nH]c2ccccc2s1
3.48,training,COc1cccc(O)c1
2.6440001,training,Cl/C=C/Cl
4.737,training,c1ccc2c(c1)ccc1oc3ccccc3c12
6.027,training,c1ccc2c(c1)ccc1sc3ccccc3c12
6.2600002,training,c1ccc2c(c1)-c1cccc3cccc-2c13
7.2360001,training,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
8.1820002,training,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
3.7679999,training,O=C1CNC(=S)N1
6.151,training,N#CCl
4.934,training,O=C(N=C=S)c1ccccc1
3.8,training,CNC(=S)NC
4.7919998,training,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
5.6430001,training,COc1cccc(N)c1
5.3070002,training,CCN=C=S
5.434,training,Nc1ccc(Cl)cc1Cl
4.0380001,training,Cc1cccc(C)c1O
4.178,training,CCc1ccccc1N
4.7280002,training,CC1=CCC(=C(C)C)CC1
6.1290002,training,CCc1ccc(N)cc1
3.977,training,CNC(N)=S
5.441,training,Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-]
4.6739998,training,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
4.6599998,training,O=[N+]([O-])c1ccc(Cl)cc1Cl
4.408,training,O=[N+]([O-])c1cc(Cl)cc(Cl)c1
6.54,training,S=C=NCc1ccccc1
3.872,training,CCNC(N)=S
5.1599998,training,Nc1cc(Cl)cc(Cl)c1
3.845,training,ClCC(Cl)(Cl)Cl
5.4299998,training,Nc1ccc(Cl)c(Cl)c1Cl
5.5570002,training,Nc1cc(Cl)c(Cl)c(Cl)c1Cl
5.1329999,training,Clc1cc(Cl)c(Cl)c(Cl)c1
4.7620001,training,Nc1cc(Cl)c(Cl)cc1Cl
1.429,training,CN(C)P(=O)(N(C)C)N(C)C
3.3380001,training,O=[N+]([O-])OCCOCCO[N+](=O)[O-]
4.6389999,training,CCC(=O)Nc1ccc(Cl)c(Cl)c1
4.0739999,training,O=S1(=O)C=Cc2ccccc21
3.6170001,training,Cc1ccc2nc(C)ccc2c1
5.6090002,training,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
5.5380001,training,O=S1OCC2C(CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl
3.6300001,training,CCNc1nc(NCC)nc(SC)n1
6.21,training,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl
5.3000002,training,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
3.908,training,O=C(O)CNCP(=O)(O)O
6.3829999,training,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1
4.756,training,Cc1csc2ccccc12
3.849,training,CCCCNC(N)=S
5.6919999,training,Cc1cc(Cl)ccc1O
5.6149998,training,Cc1cc(Cl)cc(Cl)c1O
6.2399998,training,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
5.9000001,training,CNC(=O)O/N=C/C(C)(C)S(C)(=O)=O
5.8759999,training,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
3.678,training,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
4.994,training,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
5.652,training,Clc1ccc(-c2ccccc2)cc1
6.099,training,S=C=NCCc1ccccc1
6.7280002,training,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
6.9879999,training,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1
5.375,training,COc1cc(Cl)c(Cl)c(Cl)c1O
3.352,training,CCNC(=S)Nc1ccccc1
5.138,training,c1cc[n+]2c(c1)-c1cccc[n+]1CC2
8.5450001,training,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
4.6269999,training,O=[N+]([O-])c1cccc(Cl)c1Cl
3.757,training,O[C@@H](CS)[C@@H](O)CS
6.8559999,training,CC(c1ccc(Cl)cc1)c1ccc(Cl)cc1
6.3969998,training,S=C=Nc1ccc(N=C=S)cc1
3.237,training,CN(C(N)=S)c1ccccc1
5.2909999,training,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
3.395,training,CN(C)C(N)=S
6.618,training,COP(N)(=O)SC
6.0640001,training,C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O
4.0250001,training,Cc1ccc2sccc2c1
7.375,training,CN(C)C(CSC(N)=O)CSC(N)=O
5.6399999,training,Clc1cc(Cl)c(-c2ccccc2)cc1Cl
8.1639996,training,CC1(C)C(C=C2CCCC2)C1C(=O)OCc1coc(Cc2ccccc2)c1
4.3299999,training,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
6.6490002,training,N=C(N/N=C/c1ccc(Cl)cc1)N/N=C/c1ccc(Cl)cc1
9.1540003,training,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1
4.2880001,training,CSc1nc(N)nc(NC(C)(C)C)n1
5.428,training,O=S1OC[C@@H]2[C@H](CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
5.9239998,training,S=C1SSC2=NCCN12
7.8410001,training,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
5.4749999,training,COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C
4.3390002,training,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC
7.9899998,training,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
9.0629997,training,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
7.902,training,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
10.064,training,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
5.494,training,COc1c(O)cc(Cl)c(Cl)c1Cl
6.5370002,training,CC(C)CCCCCCCCCCNCCCCCCCCCCC(C)C
3.734,training,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
9.1920004,training,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
9.9449997,training,CC1(C)[C@@H](C(Br)C(Br)(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
3.8239999,training,COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC
4.0100002,training,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1
8.3269997,training,Cc1c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1
8.6359997,training,CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
5.6329999,training,CCOP(=O)(SC(C)CC)N1CCSC1=O
4.3070002,training,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1
6.6139998,training,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
4.1680002,training,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1
6.6199999,valid,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
4.0999999,valid,C1=CC2C3C=CC(C3)C2C1
1.826,valid,CC(C)CO
4.6110001,valid,Cc1c(Cl)cccc1[N+](=O)[O-]
4.0110002,valid,COc1ccccc1N
4.0770001,valid,Cc1cccc([N+](=O)[O-])c1
3.9760001,valid,O=Cc1ccccc1
7.4780002,valid,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
2.836,valid,CCNC(=S)NCC
2.9749999,valid,Cc1ccccc1
2.4230001,valid,c1ccsc1
1.829,valid,c1ccncc1
6.1259999,valid,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
4.7969999,valid,Oc1ccc(Cl)cc1Cl
7.3410001,valid,C=C/C=C/CC1=C(C)C(OC(=O)C2C(/C=C(\C)C(=O)OC)C2(C)C)CC1=O
2.0780001,valid,CCOC(C)=O
4.3920002,valid,Cl/C=C/CCl
5.428,valid,CCCCN=C=S
1.603,valid,CN(C)C(=O)N(C)C
6.217,valid,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
5.6420002,valid,Clc1cccc(-c2ccccc2)c1
6.2719998,valid,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
7.3369999,valid,C/C=C/c1ccc(OC)cc1
6.2690001,valid,COC(=O)Nc1nc2ccccc2[nH]1
3.22,valid,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C
7.2220001,valid,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
8.8599997,valid,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
